Code,Description
X0,Supplemental MessagesStart: 01/01/1995 | Stop: 10/16/2003
A0,Acknowledgement/Forwarded-The claim/encounter has been forwarded to another entity.Start: 01/01/1995
A1,Acknowledgement/Receipt-The claim/encounter has been received. This does not mean that the claim has been accepted for adjudication.Start: 01/01/1995
A2,Acknowledgement/Acceptance into adjudication system-The claim/encounter has been accepted into the adjudication system.Start: 01/01/1995
A3,Acknowledgement/Returned as unprocessable claim-The claim/encounter has been rejected and has not been entered into the adjudication system.Start: 01/01/1995
A4,Acknowledgement/Not Found-The claim/encounter can not be found in the adjudication system.Start: 01/01/1995
A5,Acknowledgement/Split Claim-The claim/encounter has been split upon acceptance into the adjudication system.Start: 02/28/2002
A6,Acknowledgement/Rejected for Missing Information - The claim/encounter is missing the information specified in the Status details and has been rejected.Start: 10/31/2002
A7,Acknowledgement/Rejected for Invalid Information - The claim/encounter has invalid information as specified in the Status details and has been rejected.Start: 10/31/2002
A8,Acknowledgement/Rejected for relational field in error.Start: 10/31/2004
DR01,Acknowledgement/Receipt - The claim/encounter has been received. This does not mean the claim has been accepted into the data reporting/processing system. Usage: Can only be used in the Data Reporting Acknowledgement Transaction.Start: 07/01/2018
DR02,Acknowledgement/Acceptance into the data reporting/processing system - The claim/encounter has been accepted into the data reporting/processing system. Usage: Can only be used in the Data Reporting Acknowledgment Transaction.Start: 07/01/2018
DR03,Acknowledgement/Returned as unprocessable claim - The claim/encounter has been rejected and has not been entered into the data reporting/processing system. Usage: Can only be used in the Data Reporting Acknowledgment Transaction.Start: 07/01/2018
DR04,Acknowledgement/Not Found - The claim/encounter can not be found in the data reporting/processing system. Usage: Can only be used in the Data Reporting Acknowledgment Transaction.Start: 07/01/2018
DR05,Acknowledgement/Rejected for Missing Information - The claim/encounter is missing the information specified in the Status details and has been rejected. Usage: Can only be used in the Data Reporting Acknowledgment Transaction.Start: 07/01/2018
DR06,Acknowledgment/Rejected for invalid information - The claim/encounter has invalid information as specified in the Status details and has been rejected. Usage: Can only be used in the Data Reporting Acknowledgment Transaction.Start: 07/01/2018
DR07,Acknowledgement/Rejected for relational field in error. Usage: Can only be used in the Data Reporting Acknowledgment Transaction.Start: 07/01/2018
