Code,Description
0,Cannot provide further status electronically.Start: 01/01/1995
1,"For more detailed information, see remittance advice.Start: 01/01/1995"
2,More detailed information in letter.Start: 01/01/1995
3,Claim has been adjudicated and is awaiting payment cycle.Start: 01/01/1995
4,This is a subsequent request for information from the original request.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
5,This is a final request for information.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
6,Balance due from the subscriber.Start: 01/01/1995
7,Claim may be reconsidered at a future date.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
8,No payment due to contract/plan provisions.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
9,No payment will be made for this claim.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
10,All originally submitted procedure codes have been combined.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
11,Some originally submitted procedure codes have been combined.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
12,One or more originally submitted procedure codes have been combined.Start: 01/01/1995 | Last Modified: 06/30/2001
13,All originally submitted procedure codes have been modified.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
14,Some all originally submitted procedure codes have been modified.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
15,One or more originally submitted procedure code have been modified.Start: 01/01/1995 | Last Modified: 06/30/2001
16,Claim/encounter has been forwarded to entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
17,Claim/encounter has been forwarded by third party entity to entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
18,"Entity received claim/encounter, but returned invalid status. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017"
19,Entity acknowledges receipt of claim/encounter. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
20,Accepted for processing.Start: 01/01/1995 | Last Modified: 06/30/2001
21,Missing or invalid information. Usage: At least one other status code is required to identify the missing or invalid information.Start: 01/01/1995 | Last Modified: 07/01/2017
22,... before entering the adjudication system.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
23,Returned to Entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
24,Entity not approved as an electronic submitter. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
25,Entity not approved. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
26,Entity not found. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
27,Policy canceled.Start: 01/01/1995 | Last Modified: 06/30/2001
28,Claim submitted to wrong payer.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
29,Subscriber and policy number/contract number mismatched.Start: 01/01/1995
30,Subscriber and subscriber id mismatched.Start: 01/01/1995
31,Subscriber and policyholder name mismatched.Start: 01/01/1995
32,Subscriber and policy number/contract number not found.Start: 01/01/1995
33,Subscriber and subscriber id not found.Start: 01/01/1995
34,Subscriber and policyholder name not found.Start: 01/01/1995
35,Claim/encounter not found.Start: 01/01/1995
37,"Predetermination is on file, awaiting completion of services.Start: 01/01/1995"
38,Awaiting next periodic adjudication cycle.Start: 01/01/1995
39,Charges for pregnancy deferred until delivery.Start: 01/01/1995
40,Waiting for final approval.Start: 01/01/1995
41,Special handling required at payer site.Start: 01/01/1995
42,Awaiting related charges.Start: 01/01/1995
44,Charges pending provider audit.Start: 01/01/1995
45,Awaiting benefit determination.Start: 01/01/1995
46,Internal review/audit.Start: 01/01/1995
47,Internal review/audit - partial payment made.Start: 01/01/1995
48,Referral/authorization.Start: 01/01/1995 | Last Modified: 02/28/2001 | Stop: 01/01/2012Notes: Refer to codes 252 and 761.
49,Pending provider accreditation review.Start: 01/01/1995
50,Claim waiting for internal provider verification.Start: 01/01/1995
51,Investigating occupational illness/accident.Start: 01/01/1995
52,Investigating existence of other insurance coverage.Start: 01/01/1995
53,Claim being researched for Insured ID/Group Policy Number error.Start: 01/01/1995
54,Duplicate of a previously processed claim/line.Start: 01/01/1995
55,Claim assigned to an approver/analyst.Start: 01/01/1995
56,Awaiting eligibility determination.Start: 01/01/1995
57,Pending COBRA information requested.Start: 01/01/1995
59,Information was requested by a non-electronic method. Usage: At least one other status code is required to identify the requested information.Start: 01/01/1995 | Last Modified: 07/01/2017
60,Information was requested by an electronic method. Usage: At least one other status code is required to identify the requested information.Start: 01/01/1995 | Last Modified: 07/01/2017
61,Eligibility for extended benefits.Start: 01/01/1995
64,Re-pricing information.Start: 01/01/1995
65,Claim/line has been paid.Start: 01/01/1995
66,Payment reflects usual and customary charges.Start: 01/01/1995
67,Payment made in full.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
68,Partial payment made for this claim.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
69,Payment reflects plan provisions.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
70,Payment reflects contract provisions.Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
71,Periodic installment released.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
72,Claim contains split payment.Start: 01/01/1995
73,"Payment made to entity, assignment of benefits not on file. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017"
78,"Duplicate of an existing claim/line, awaiting processing.Start: 01/01/1995"
81,Contract/plan does not cover pre-existing conditions.Start: 01/01/1995
83,No coverage for newborns.Start: 01/01/1995
84,Service not authorized.Start: 01/01/1995
85,Entity not primary. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
86,Diagnosis and patient gender mismatch.Start: 01/01/1995 | Last Modified: 02/28/2000
87,Denied: Entity not found. (Use code 26 with appropriate Claim Status category Code)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
88,Entity not eligible for benefits for submitted dates of service. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
89,Entity not eligible for dental benefits for submitted dates of service. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
90,Entity not eligible for medical benefits for submitted dates of service. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
91,Entity not eligible/not approved for dates of service. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
92,Entity does not meet dependent or student qualification. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
93,Entity is not selected primary care provider. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
94,Entity not referred by selected primary care provider. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
95,"Requested additional information not received.Start: 01/01/1995 | Last Modified: 07/09/2007Notes: If known, the payer must report a second claim status code identifying the requested information."
96,No agreement with entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
97,Patient eligibility not found with entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
98,Charges applied to deductible.Start: 01/01/1995
99,Pre-treatment review.Start: 01/01/1995
100,Pre-certification penalty taken.Start: 01/01/1995
101,Claim was processed as adjustment to previous claim.Start: 01/01/1995
102,Newborn's charges processed on mother's claim.Start: 01/01/1995
103,Claim combined with other claim(s).Start: 01/01/1995
104,Processed according to plan provisions (Plan refers to provisions that exist between the Health Plan and the Consumer or Patient)Start: 01/01/1995 | Last Modified: 06/01/2008
105,Claim/line is capitated.Start: 01/01/1995
106,This amount is not entity's responsibility. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
107,Processed according to contract provisions (Contract refers to provisions that exist between the Health Plan and a Provider of Health Care Services)Start: 01/01/1995 | Last Modified: 06/01/2008
108,Coverage has been canceled for this entity. (Use code 27)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
109,Entity not eligible. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
110,Claim requires pricing information.Start: 01/01/1995
111,At the policyholder's request these claims cannot be submitted electronically.Start: 01/01/1995
112,Policyholder processes their own claims.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
113,Cannot process individual insurance policy claims.Start: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
114,Claim/service should be processed by entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
115,Cannot process HMO claimsStart: 01/01/1995 | Last Modified: 01/27/2008 | Stop: 07/01/2008
116,Claim submitted to incorrect payer.Start: 01/01/1995
117,Claim requires signature-on-file indicator.Start: 01/01/1995
118,TPO rejected claim/line because payer name is missing. (Use status code 21 and status code 125 with entity code IN)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
119,TPO rejected claim/line because certification information is missing. (Use status code 21 and status code 252)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
120,TPO rejected claim/line because claim does not contain enough information. (Use status code 21)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
121,Service line number greater than maximum allowable for payer.Start: 01/01/1995
122,Missing/invalid data prevents payer from processing claim. (Use CSC Code 21)Start: 01/01/1995 | Last Modified: 07/09/2007 | Stop: 01/01/2008
123,Additional information requested from entity. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
124,"Entity's name, address, phone and id number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017"
125,Entity's name. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
126,Entity's address. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
127,Entity's Communication Number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
128,Entity's tax id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
129,Entity's Blue Cross provider id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
130,Entity's Blue Shield provider id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
131,Entity's Medicare provider id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
132,Entity's Medicaid provider id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
133,Entity's UPIN. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
134,Entity's TRICARE provider id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 03/01/2022
135,Entity's commercial provider id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
136,Entity's health industry id number. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
137,Entity's plan network id. Usage: This code requires use of an Entity Code.Start: 01/01/1995 | Last Modified: 07/01/2017
