Code,Description
01,Inappropriate combination of service type code and service type code descriptor.Activation Date: 11/01/2017
02,Inappropriate service type code(s)Activation Date: 11/01/2017
03,The submitted procedure code(s) is not supported.Activation Date: 11/01/2017
04,Inquiries related to procedure codes are not supported.Activation Date: 11/01/2017
05,The submitted modifier code(s) is not supported.Activation Date: 11/01/2017
06,Inquiries related to modifier codes are not supported.Activation Date: 11/01/2017
07,The submitted diagnosis code(s) is not supported.Activation Date: 11/01/2017
08,Inquiries related to diagnosis codes are not supported.Activation Date: 11/01/2017
09,Duplicate IDActivation Date: 11/01/2017 | Deactivation Date: 08/01/2019
10,Invalid subscriber or insured IDActivation Date: 11/01/2017
11,Missing subscriber or insured IDActivation Date: 11/01/2017
12,Missing subscriber or insured nameActivation Date: 11/01/2017
13,Invalid date of deathActivation Date: 11/01/2017
14,Missing date of deathActivation Date: 11/01/2017
15,Missing provider nameActivation Date: 11/01/2017
16,Invalid taxonomyActivation Date: 11/01/2017
17,Missing taxonomyActivation Date: 11/01/2017
18,Missing provider stateActivation Date: 11/01/2017
19,Invalid referring provider IDActivation Date: 11/01/2017
20,Missing referring provider IDActivation Date: 11/01/2017
21,The request date(s) is not within the provider's plan enrollment period.Activation Date: 11/01/2017
22,The request date(s) precedes the date of birth.Activation Date: 11/01/2017
23,The date of death in our records precedes the request date(s).Activation Date: 11/01/2017
24,The request date(s) is not within the allowable inquiry period.Activation Date: 11/01/2017
25,The request date(s) is in the future.Activation Date: 11/01/2017
26,Invalid request date(s)Activation Date: 11/01/2017
27,Invalid patient IDActivation Date: 11/01/2017
28,Missing patient IDActivation Date: 11/01/2017
29,Missing patient nameActivation Date: 11/01/2017
30,Invalid case numberActivation Date: 11/01/2017
31,Missing case numberActivation Date: 11/01/2017
32,Invalid provider addressActivation Date: 11/01/2017
33,Missing provider addressActivation Date: 11/01/2017
34,The referral number was not found.Activation Date: 11/01/2017
35,Invalid diagnosis code(s)Activation Date: 11/01/2017
36,Missing diagnosis code(s)Activation Date: 11/01/2017
37,Invalid procedure code(s)Activation Date: 11/01/2017
38,Missing procedure code(s)Activation Date: 11/01/2017
39,Invalid modifier code(s)Activation Date: 11/01/2017
40,Missing modifier code(s)Activation Date: 11/01/2017
