Code,Description
ADM,Administrative Fees used for a debt owed by the payee. This is a program-level code only and no enrollment group (policy) level information will be provided with this code. The Administrative Fee is $15. Negative Amounts Only
APTC,Advance Payment of Premium Tax Credit. RMR04 will be positive.
APTCADJ,Advance Payment of Premium Tax Credit Adjustment. RMR04 will be positive or negative.
APTCMADJ,APTC Manual Adjustment. Used to show APTC manual adjustment when enrollment group level information is not applicable. RMR04 will be positive or negative and may be reversed in the future. This is a program-level code only and no enrollment group (policy) level information will be provided with this code.
BAL,"When an AR invoice is split between multiple HIX 820 reports, this adjustment balances the reports.  Negative Amounts & Positive Amounts"
CSR,Advance Payment of Cost Sharing Reduction. RMR04 will be positive.
CSRADJ,Advance Payment of Cost Sharing Reduction Adjustment. RMR04 will be positive or negative.
CSRMADJ,CSR Manual Adjustment. Used to show CSR manual adjustment when enrollment group level information is not provided. RMR04 will be positive or negative and may be reversed in the future. This is a program-level code only and no enrollment group (policy) level information will be provided with this code.
CSRN,Cost Sharing Reduction Reconciliation. Negative Amounts & Positive Amounts
CSRNADJ,Cost Sharing Reduction Reconciliation Adjustment. RMR04 will be positive or negative.
DDVC,"Default Data Validation Charge or Allocation Payment. If DDVC is the Payment Type Code, a corresponding Report Type Code of DDVCRPT will also be included. (Invoice Number and specific detail may be provided in the Document Control Number in the payment reports effective July 2017). Negative Amounts & Positive Amounts"
DEBTADJ,"Payee's debt amount covered by an affiliate's payment. RMR04 will be positive. This is a program-level code only and no enrollment group (policy) level information will be provided with this code. When used to report that a prior debt was covered, RMR04 with the payment type code of BAL will also be used."
DEPENDENTPREM,Dependent responsible premium amount. RMR04 will be positive.
DEPENDENTPREMADJCANCEL,Dependent premium amount adjustment due to cancellation. RMR04 will positive or negative
DEPENDENTPREMADJNSF,Dependent responsible premium amount due to non-sufficient funds. RMR04 will be positive or negative.
DEPENDENTPREMADJTERMINATE,Dependent responsible premium amount due to the termination of a policy. RMR04 will be positive or negative.
EMPLOYEEPREM,Employee responsible premium amount. RMR04 will be positive.
EMPLOYEEPREMADJCANCEL,Employee responsible premium amount adjustment due to cancellation. RMR04 will be positive or negative
EMPLOYEEPREMADJNSF,Employee responsible premium amount adjustment due to non-sufficient funds. RMR04 will be positive or negative.
EMPLOYEEPREMADJTERMINATE,Employee responsible premium amount adjustment due to the termination of a policy. RMR04 will be positive or negative.
EMPLOYERPREM,Employer responsible premium amount. RMR04 will be positive.
EMPLOYERPREMADJCANCEL,Employer responsible premium amount adjustment due to cancellation.  RMR04 will be positive or negative
EMPLOYERPREMADJNSF,Employer responsible premium amount adjustment due to non-sufficient funds. RMR04 will be positive or negative.
EMPLOYERPREMADJTERMINATE,Employer responsible premium amount adjustment due to the termination of a policy. RMR04 will be positive or negative.
EXTLOAN,Payment Offsets For Co-op Loan. Negative Amounts Only
HCRPC,High Cost Risk Pool Contribution Amount. Negative Amounts & Positive Amounts
HCRPP,High Cost Risk Pool Payment Amount. Negative Amounts & Positive Amounts
HCRPPYREF,High Cost Risk Pool Refund For Prior Fiscal Years. Positive Amounts Only
HCRPADMIN,High Cost Risk Pool Refund of Admin Charge. Positive Amounts Only
HCRPINT,High Cost Risk Pool Refund of Interest Charge. Positive Amounts Only
INT,Interest charges for a debt owed by the payee. This is a program-level code only and no enrollment group (policy) level information will be provided with this code. The Secretary of Treasury certifies and updates an interest rate on a quarterly basis. Negative Amounts Only
INVOICE,Used to show a total amount that will be billed or otherwise collected. Only used when BPR02 would otherwise be negative. This is a program-level code only and no enrollment group (policy) level information will be provided with this code. Negative Amounts Only
PEN,Penalty charges for a debt owed by the payee. The Treasury will add additional administrative fees of up to 30 percent and accrue the required penalty charge of 6 percent per year on any amount outstanding. Interest will continue to accrue. This is a program-level code only and no enrollment group (policy) level information will be provided with this code. Negative Amounts Only
RA,"Risk Adjustment Charge or Payment. If RA is the Payment Type Code, a corresponding Report Type Code of RARPT will also be included. (Invoice Number and specific detail may be provided in the Document Control Number in the payment reports effective July 2017).
Negative Amounts & Positive Amounts"
RAADJ,Risk Adjustment Payment or Charge Adjustment. RMR04 will be positive or negative.
RAAR,Risk Adjustment Administration Fee Refund. A Risk Adjustment Admin Fee is only charged if an Issuer does not pay their RA Charges within 30 days. Positive Amounts Only
RACR,Risk Adjustment Refund For Prior Fiscal Years. Positive Amounts Only
