Code,Description
1,"Medical CareMedical services to diagnose and/or treat a medical condition, illness, or injuryStart: 09/20/2009"
2,SurgicalSurgical services provided by a healthcare providerStart: 09/20/2009
3,"ConsultationCounseling and/or coordination of care with other Physicians, other qualified Healthcare Providers or agenciesStart: 09/20/2009"
4,Diagnostic X-RayDiagnostic x-ray provided by a  healthcare providerStart: 09/20/2009
5,Diagnostic LabDiagnostic lab provided by a healthcare providerStart: 09/20/2009
6,Radiation TherapyRadiation therapy provided by a healthcare providerStart: 09/20/2009
7,AnesthesiaAnesthesia services provided by a healthcare providerStart: 09/20/2009
8,Surgical AssistanceAssistant surgeon/surgical assistance provided by a healthcare provider if required because of the complexity of the surgical proceduresStart: 09/20/2009
9,Hearing AidSmall electronic device that is worn in or above the ear.Start: 09/01/2023
10,"BloodThe allotment of whole blood, blood plasma, or blood derivativesStart: 09/20/2009"
11,Durable Medical Equipment UsedUsed equipment needed for medical reasons to be used by a person that is ill or injured and is ordered by a health care provider for use in the home.Start: 09/20/2009
12,Durable Medical Equipment PurchasedPurchased equipment needed for medical reasons to be used by a person that is ill or injured and is ordered by a healthcare provider for use in the home.Start: 09/20/2009
13,Hearing Aid Power SourceBatteries or other type of device used to charge a hearing aidStart: 09/01/2023
14,"Renal SuppliesSupplies to support treatment of kidneys, or bladder functions.  (Example: Dialysis Supplies and/or catheters)Start: 09/20/2009"
15,Sleep StudyStart: 01/01/2024
17,Pre-Admission TestingServices related to the preparation for admission to establish the patients current health status.Start: 09/20/2009
18,Durable Medical Equipment RentalRental equipment needed for medical reasons to be used by a person that is ill or injured and is ordered by a healthcare provider for use in the home.Start: 09/20/2009
19,Pneumonia VaccineServices provided by a physician or other healthcare provider related to administration of Pneumococcal Pneumonia vaccination.Start: 09/20/2009
20,Second Surgical OpinionSecond professional opinion sought to verify or confirm the necessity for surgical proceduresStart: 09/20/2009
21,Third Surgical OpinionThird professional opinion sought to verify or confirm the necessity for surgical proceduresStart: 09/20/2009
22,Social WorkServices related to a systematic way of helping individuals and groups towards better adaptation to societyStart: 09/20/2009
23,"Diagnostic DentalThe translation of data gathered by clinical and radiographic examination into an organized, classified definition of conditions present.Start: 09/20/2009"
24,"PeriodonticsThe art and science of examination, diagnosis, and treatment of diseases affecting the periodontium; a study of the supporting structures of the teeth, normal anatomy and physiology and the deviations.Start: 09/20/2009"
25,"RestorativeBroad term applied to any restorations to the tooth/teeth structure(s). Anterior teeth include up to five surface classifications - Mesial, Distal, Incisal, Lingual and Labial. Posterior teeth include up to five surface classifications: Mesial, Distal, Occlusal, Lingual and Buccal.Start: 09/20/2009"
26,"EndodonticsThe branch of dentistry that is concerned with the morphology, physiology and pathology of the dental pulp and periradicular (gum) tissues.Start: 09/20/2009"
27,"Maxillofacial ProstheticsThe branch of prosthetics is concerned with the restoration of stomatognathic and associated facial structure that have been affected by disease, injury, surgery, or congenital defect.Start: 09/20/2009"
28,Adjunctive Dental ServicesTypically these services involve a drug such as anesthesia or other substances that serve as a supplemental purpose in dental therapy.Start: 09/20/2009
30,Plan Coverage and General BenefitsPlan coverage and general benefits for the member's policy or contract.Start: 09/20/2009 | Last Modified: 11/01/2019
32,Plan Waiting PeriodStart: 09/20/2009
33,ChiropracticManipulations and modalities provided by a healthcare providerStart: 09/20/2009
34,Chiropractic ModalityStart: 09/20/2009 | Stop: 07/01/2016
35,Dental CareThe treatment of the teeth and their supporting structures.Start: 09/20/2009
36,"Dental CrownsAn artificial replacement for the natural crown of the tooth covering all five surfaces (Anterior teeth surface classifications - Mesial, Distal, Incisal, Lingual and Labial. Posterior teeth surface classifications: Mesial, Distal, Occlusal, Lingual and Buccal.Start: 09/20/2009"
37,Dental AccidentSupplies or appliances for care of teeth due to accidental injury provided by healthcare providerStart: 09/20/2009
