Code,Description
A,Preventive Service(s)Activation Date: 7/5/2018
B,Primary (Care) ProviderActivation Date: 7/5/2018
C,Professional ComponentActivation Date: 7/5/2018
D,Specialty ProviderActivation Date: 7/5/2018
E,Technical ComponentActivation Date: 7/5/2018
F,Telehealth(s)Activation Date: 7/5/2018
G,Intensive or SeriousActivation Date: 4/1/2020
H,High RiskActivation Date: 4/1/2020
I,RentalActivation Date: 4/1/2020
J,On HoldActivation Date: 4/1/2020
K,UsedActivation Date: 4/1/2020
L,Long Term CareActivation Date: 4/1/2020
M,Acute CareActivation Date: 4/1/2020
